ID,Age,Height,Weight,Position,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,ShortPassing,LongPassing,BallControl,Vision,Reactions,Composure,Crossing,Dribbling,Stamina,Agility,Acceleration,CAMRating,CMRating,RMRating,LMRating,CDMRating,Prospect,Position_n
TRAIN_0007,21,189,64,CDM,4.058,3.5526,4.7059,4.3939,5.5263,5.7377,6.8675,6.6667,5.618,4.1667,4.6875,3.8554,5.4545,6.1957,4.9383,5.3947,5.4217,5.2,5.4795,5.2703,5.2703,6.1429,0,1
TRAIN_0010,20,180,72,CAM,4.9275,4.7368,4.7059,4.3939,4.0789,3.9344,6.3855,5.9524,5.9551,5.0,4.0625,4.2169,5.5682,5.6522,4.8148,5.3947,5.7831,5.4667,5.4795,5.4054,5.4054,5.2857,0,0
TRAIN_0011,21,186,82,CM,6.2319,5.5263,6.0294,5.4545,5.7895,7.0492,7.1084,6.9048,6.7416,6.4286,5.0,6.8675,6.5909,6.1957,8.1481,6.8421,6.988,6.4,6.7123,6.4865,6.4865,6.8571,0,2
TRAIN_0013,21,181,71,RM,8.6957,7.3684,6.1765,7.2727,3.4211,4.4262,6.8675,6.4286,7.7528,7.2619,5.4688,6.8675,7.5,8.1522,7.9012,9.2105,8.7952,7.7333,6.8493,7.8378,7.8378,5.2857,0,4
TRAIN_0014,20,178,63,CAM,7.6812,6.0526,5.2941,6.3636,2.2368,4.0984,6.3855,7.381,7.3034,6.4286,4.6875,5.1807,5.2273,7.5,5.679,7.1053,7.9518,6.8,6.1644,6.7568,6.7568,4.5714,0,0
TRAIN_0015,18,172,70,CAM,5.6522,3.9474,3.9706,4.0909,3.6842,3.4426,5.5422,5.3571,5.1685,5.119,3.4375,4.4578,4.5455,5.4348,4.321,7.1053,6.6265,5.2,4.9315,5.0,5.0,4.5714,0,0
TRAIN_0016,19,173,62,CDM,6.3768,3.8158,5.4412,6.0606,6.3158,4.4262,7.7108,7.0238,7.4157,6.3095,5.625,6.1446,4.3182,6.413,6.1728,7.6316,7.3494,6.4,6.7123,6.2162,6.2162,7.0,0,1
TRAIN_0019,21,172,66,CAM,7.3913,6.1842,4.7059,6.2121,3.4211,4.0984,5.6627,4.7619,6.9663,5.119,4.2188,4.5783,6.25,7.3913,5.679,8.1579,7.4699,6.4,5.6164,6.3514,6.3514,4.8571,0,0
TRAIN_0020,19,181,74,RM,5.5072,4.6053,3.0882,4.2424,1.5789,2.7869,4.6988,3.4524,4.9438,4.0476,0.9375,3.9759,5.6818,6.7391,4.1975,5.6579,5.9036,4.9333,3.9726,5.1351,5.1351,2.7143,0,4
TRAIN_0021,21,183,72,CDM,4.9275,3.6842,5.5882,5.303,6.3158,5.082,7.2289,7.1429,6.8539,6.6667,4.375,6.747,5.3409,6.5217,6.4198,5.3947,5.3012,6.1333,6.4384,6.0811,6.0811,6.7143,0,1
TRAIN_0022,17,177,67,LM,6.5217,3.8158,4.2647,4.697,3.0263,2.1311,6.0241,5.9524,5.9551,4.5238,3.125,4.2169,5.2273,5.7609,5.4321,6.9737,6.988,5.3333,5.2055,5.5405,5.5405,4.4286,1,3
TRAIN_0023,20,181,77,CM,5.7971,3.9474,5.2941,6.0606,5.5263,6.0656,6.8675,6.6667,7.0787,6.6667,5.7812,6.3855,5.0,6.7391,8.2716,7.7632,6.3855,6.2667,6.5753,6.2162,6.2162,6.7143,0,2
TRAIN_0025,19,167,71,RM,6.6667,5.1316,4.4118,5.6061,1.7105,2.7869,5.5422,4.881,6.7416,5.4762,3.4375,5.3012,6.25,6.9565,4.1975,5.9211,8.3133,5.8667,5.0685,6.0811,6.0811,3.7143,1,4
TRAIN_0026,20,177,66,RM,7.971,5.0,5.7353,6.8182,6.4474,6.3934,6.988,5.7143,7.4157,6.5476,5.7812,6.747,7.1591,7.7174,5.9259,7.8947,8.4337,6.9333,6.7123,7.1622,7.1622,6.8571,0,4
TRAIN_0030,20,186,78,CAM,5.7971,5.2632,5.0,4.8485,4.2105,4.5902,6.747,6.3095,6.9663,5.3571,4.2188,5.5422,4.7727,5.9783,5.5556,4.7368,6.3855,6.1333,6.0274,5.9459,5.9459,5.5714,0,0
TRAIN_0032,20,185,81,CAM,6.9565,6.0526,5.5882,6.3636,3.4211,6.2295,6.506,5.9524,7.3034,6.7857,5.1562,5.7831,6.1364,7.2826,5.9259,7.2368,7.2289,6.9333,6.3014,6.7568,6.7568,5.4286,0,0
TRAIN_0033,21,176,71,CDM,4.6377,3.5526,5.0,4.8485,5.7895,3.4426,7.2289,6.9048,6.2921,4.7619,4.2188,4.3373,4.7727,6.3043,3.3333,4.2105,5.0602,5.3333,5.6164,5.2703,5.2703,6.1429,0,1
TRAIN_0039,21,176,70,LM,7.6812,5.6579,4.1176,5.4545,0.6579,2.459,4.6988,4.2857,6.2921,4.7619,5.0,5.0602,7.0455,6.9565,4.8148,5.5263,7.7108,5.8667,4.7945,6.2162,6.2162,2.8571,1,3
TRAIN_0043,19,180,72,LM,6.6667,5.9211,6.1765,6.2121,5.5263,6.2295,7.1084,6.5476,7.0787,7.0238,5.3125,6.747,6.5909,6.8478,8.7654,8.0263,6.988,6.9333,6.9863,7.027,7.027,6.7143,1,3
TRAIN_0045,17,168,61,CAM,6.5217,5.6579,5.1471,5.6061,4.0789,3.4426,6.6265,6.7857,6.4045,6.4286,3.9062,5.0602,4.7727,6.8478,4.1975,7.6316,8.0723,6.5333,6.0274,6.2162,6.2162,5.1429,1,0
TRAIN_0046,21,174,78,CM,5.5072,2.2368,3.8235,3.9394,4.3421,4.7541,6.2651,5.2381,5.3933,5.4762,3.75,3.1325,3.2955,5.6522,6.1728,5.2632,6.1446,5.2,5.3425,5.1351,5.1351,5.2857,0,2
TRAIN_0047,16,184,66,CAM,5.0725,4.2105,3.3824,3.7879,2.6316,3.1148,4.6988,4.1667,5.3933,5.119,0.9375,4.3373,4.7727,5.4348,2.4691,5.5263,6.0241,4.8,4.1096,4.7297,4.7297,3.4286,1,0
TRAIN_0049,18,190,80,CAM,5.942,3.8158,4.2647,4.0909,2.8947,4.5902,6.1446,5.2381,5.5056,6.1905,2.8125,5.3012,3.6364,5.4348,3.9506,6.5789,6.2651,5.3333,4.9315,5.0,5.0,4.2857,1,0
TRAIN_0051,21,176,74,CM,5.3623,4.2105,5.1471,5.0,4.8684,4.2623,6.3855,6.1905,6.2921,5.8333,3.9062,5.0602,6.0227,6.087,6.4198,6.4474,6.2651,5.7333,5.8904,5.8108,5.8108,5.7143,1,2
