ID,Position,Genius_Score,Height,BuildUp_Score,Physical_Power,Age,Prospect
TRAIN_0006,GK,-0.6315304255319152,196,2.3360333333333334,237.0,20,0
TRAIN_0029,GK,0.18447124999999964,193,1.3768,230.5,17,1
TRAIN_0035,GK,-0.24782875000000004,188,1.6121666666666667,222.0,17,1
TRAIN_0036,GK,-0.11477955555555575,183,2.4383666666666666,218.0,21,0
TRAIN_0040,GK,-0.6112595555555558,194,1.7808,236.5,21,0
TRAIN_0050,GK,0.17860957446808445,197,2.5037,239.0,20,1
TRAIN_0058,GK,-0.13549955555555648,194,1.5377666666666665,233.5,21,1
TRAIN_0062,GK,0.11277000000000026,198,2.6723,239.0,16,1
TRAIN_0086,GK,0.019151250000000175,183,1.7363333333333333,219.0,17,1
TRAIN_0093,GK,-0.027528750000000102,193,1.4955,234.5,17,1
TRAIN_0112,GK,-0.9486795555555556,190,1.8953666666666666,232.5,21,0
TRAIN_0120,GK,-0.340819555555556,181,2.5193333333333334,218.5,21,0
TRAIN_0166,GK,-0.1428304761904755,191,2.0066,233.0,19,1
TRAIN_0169,GK,-0.2941504255319147,185,1.4192,220.5,20,1
TRAIN_0178,GK,-0.16633047619047492,185,2.9861,222.5,19,1
TRAIN_0186,GK,-0.10407265306122415,183,1.3849,218.0,18,1
TRAIN_0197,GK,0.24110044444444334,185,2.0775666666666663,221.5,21,0
TRAIN_0208,GK,0.47110044444444377,190,2.7137666666666664,234.0,21,0
TRAIN_0213,GK,-0.01323265306122412,182,1.8526333333333334,219.5,18,0
TRAIN_0222,GK,-0.33045265306122396,180,1.8482333333333332,217.5,18,0
TRAIN_0223,GK,-0.47567955555555663,193,1.5753666666666668,232.5,21,0
TRAIN_0226,GK,-0.13697955555555552,192,1.6856666666666669,234.5,21,0
TRAIN_0228,GK,0.018060444444443213,185,1.3677333333333335,226.0,21,0
TRAIN_0229,GK,0.8766495744680851,189,2.3613666666666666,228.0,20,1
TRAIN_0231,GK,-0.9479304255319141,181,1.8144333333333336,217.0,20,1
TRAIN_0251,GK,-0.18905047619047455,193,1.8177666666666668,231.0,19,0
TRAIN_0267,GK,-0.21855265306122362,188,1.4458,227.0,18,1
TRAIN_0268,GK,-0.1723326530612237,192,1.808366666666667,232.5,18,1
TRAIN_0287,GK,-0.2963904255319143,180,1.8048666666666666,217.5,20,0
TRAIN_0288,GK,0.1548895744680845,185,2.2356333333333334,221.0,20,0
TRAIN_0311,GK,-0.863350476190476,182,1.5325,218.0,19,0
TRAIN_0316,GK,-0.3756326530612233,191,0.9450666666666668,229.5,18,1
TRAIN_0318,GK,0.290269574468085,186,1.2126333333333335,223.5,20,0
TRAIN_0322,GK,-0.20925047619047543,190,1.7664666666666669,230.0,19,1
TRAIN_0338,GK,0.24254957446808412,185,1.4453333333333334,221.0,20,1
TRAIN_0342,GK,-0.3383304255319146,191,1.6056666666666668,232.0,20,0
TRAIN_0359,GK,0.4063495744680852,193,1.7375666666666667,231.5,20,0
TRAIN_0360,GK,-0.03523265306122347,185,1.0921666666666667,222.5,18,1
TRAIN_0368,GK,0.040229574468085616,180,2.7731666666666666,219.0,20,1
TRAIN_0388,GK,1.5930495238095252,189,2.0418666666666665,225.5,19,0
TRAIN_0399,GK,1.0888473469387758,186,2.6358,223.5,18,1
TRAIN_0407,GK,0.6536604444444443,193,2.0604666666666667,232.5,21,0
TRAIN_0411,GK,0.24543124999999932,196,1.7647000000000002,234.0,17,1
TRAIN_0426,GK,-0.14257047619047558,196,1.5382333333333333,233.5,19,1
TRAIN_0427,GK,0.014989523809524563,180,1.6118666666666666,217.5,19,0
TRAIN_0429,GK,-0.06978874999999984,184,2.2579333333333333,224.0,17,1
TRAIN_0453,GK,0.15586952380952468,188,2.001333333333333,228.0,19,0
TRAIN_0455,GK,0.7155095238095246,191,1.4024666666666665,227.5,19,1
TRAIN_0458,GK,0.07190734693877587,193,2.2434333333333334,232.0,18,1
TRAIN_0478,GK,0.5953673469387759,194,1.5008,236.5,18,1
TRAIN_0482,GK,-0.09055955555555517,188,1.7350666666666668,228.5,21,0
TRAIN_0486,GK,-0.2539704761904753,191,1.7691666666666668,233.0,19,1
TRAIN_0488,GK,0.007747346938776545,189,1.7690000000000001,231.0,18,1
TRAIN_0494,GK,0.35292957446808515,188,2.5175666666666667,229.5,20,1
TRAIN_0496,GK,0.1495895238095244,187,2.1252,228.5,19,1
TRAIN_0502,GK,-0.22691955555555587,185,1.9687333333333334,225.5,21,0
TRAIN_0510,GK,-0.18214875000000053,180,1.8977666666666666,217.0,17,1
TRAIN_0513,GK,-0.023359555555555467,187,1.9623000000000002,223.0,21,0
TRAIN_0549,GK,0.7814495238095231,192,3.2962000000000002,237.0,19,1
